"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 17, 2017","64,354.34","63,827.32","64,658.01","63,456.01","3.02M","0.82%"
"Jan 16, 2017","63,831.28","63,651.52","64,013.78","63,555.67","1.82M","0.28%"
"Jan 13, 2017","63,651.52","63,939.59","64,091.98","63,365.78","2.82M","-0.47%"
"Jan 12, 2017","63,953.93","62,448.02","64,342.39","62,448.02","4.68M","2.41%"
"Jan 11, 2017","62,446.26","62,133.61","62,674.45","61,664.60","3.24M","0.51%"
"Jan 10, 2017","62,131.80","61,710.16","62,445.90","61,710.16","2.70M","0.70%"
"Jan 09, 2017","61,700.29","61,680.07","62,111.59","61,307.46","2.56M","0.06%"
"Jan 06, 2017","61,665.37","62,071.50","62,071.50","61,395.57","2.45M","-0.65%"
"Jan 05, 2017","62,070.98","61,594.13","62,408.60","61,594.13","3.42M","0.78%"
"Jan 04, 2017","61,589.06","61,810.85","61,940.47","61,302.28","2.93M","-0.36%"
"Jan 03, 2017","61,813.83","59,631.15","61,814.60","59,631.15","3.43M","3.73%"
"Jan 02, 2017","59,588.70","60,227.28","60,227.28","59,370.90","833.73K","-1.06%"
"Dec 29, 2016","60,227.29","59,781.92","60,248.07","59,277.63","2.19M","0.75%"
"Dec 28, 2016","59,781.63","58,688.04","59,911.12","58,688.04","2.02M","1.85%"
"Dec 27, 2016","58,696.69","58,627.19","59,067.69","58,402.39","1.67M","0.13%"
"Dec 26, 2016","58,620.26","57,940.76","58,781.46","57,940.76","701.23K","1.18%"
"Dec 23, 2016","57,937.11","57,255.22","58,142.76","57,255.22","2.22M","1.19%"
"Dec 22, 2016","57,255.22","57,645.94","57,645.94","56,828.56","2.90M","-0.68%"
"Dec 21, 2016","57,646.52","57,583.30","58,049.05","57,221.50","2.54M","0.11%"
"Dec 20, 2016","57,582.89","57,115.86","57,918.26","57,038.49","2.76M","0.83%"
"Dec 19, 2016","57,110.99","58,390.13","58,599.87","57,109.27","3.50M","-2.19%"
"Dec 16, 2016","58,389.04","58,397.63","59,311.74","58,365.46","3.80M","-0.01%"
"Dec 15, 2016","58,396.16","58,213.75","58,635.22","57,574.74","3.68M","0.32%"
"Dec 14, 2016","58,212.12","59,280.13","59,337.76","58,212.12","3.98M","-1.80%"
"Dec 13, 2016","59,280.57","59,177.53","59,946.44","58,757.51","3.70M","0.17%"
"Dec 12, 2016","59,178.61","60,516.60","60,516.60","59,034.94","6.77M","-2.19%"
"Dec 09, 2016","60,500.62","60,688.41","61,129.09","60,315.83","3.44M","-0.29%"
"Dec 08, 2016","60,676.57","61,429.96","61,935.70","60,499.40","3.03M","-1.20%"
"Dec 07, 2016","61,414.40","61,110.81","61,917.93","61,062.22","3.96M","0.53%"
"Dec 06, 2016","61,088.25","59,828.46","61,234.93","59,395.92","3.72M","2.10%"
"Dec 05, 2016","59,831.73","60,322.39","60,720.08","59,635.01","2.95M","-0.80%"
"Dec 02, 2016","60,316.13","59,498.85","60,378.91","58,092.29","4.48M","1.36%"
"Dec 01, 2016","59,506.54","61,906.35","61,910.60","59,058.08","5.52M","-3.88%"
"Nov 30, 2016","61,906.36","60,994.05","62,589.83","60,994.05","4.73M","1.51%"
"Nov 29, 2016","60,986.52","62,858.77","62,858.77","60,979.55","3.53M","-2.97%"
"Nov 28, 2016","62,855.50","61,558.56","62,934.36","61,240.48","2.84M","2.11%"
"Nov 25, 2016","61,559.08","61,393.86","61,559.08","60,572.79","2.74M","0.27%"
"Nov 24, 2016","61,395.53","61,998.99","62,104.92","61,392.18","1.65M","-0.95%"
"Nov 23, 2016","61,985.91","61,955.55","62,046.15","61,233.53","3.60M","0.05%"
"Nov 22, 2016","61,954.47","61,072.10","62,549.61","61,072.10","4.11M","1.45%"
"Nov 21, 2016","61,070.27","59,962.70","61,070.27","59,962.70","3.63M","1.85%"
"Nov 18, 2016","59,961.76","59,770.33","60,193.29","59,327.34","3.57M","0.32%"
"Nov 17, 2016","59,770.47","60,762.94","61,492.74","59,745.66","3.64M","-1.63%"
"Nov 16, 2016","60,759.32","59,658.50","60,915.21","59,363.83","4.72M","1.85%"
"Nov 14, 2016","59,657.46","59,183.14","59,961.38","58,322.32","5.58M","0.80%"
"Nov 11, 2016","59,183.51","61,198.71","61,626.40","58,920.95","7.81M","-3.30%"
"Nov 10, 2016","61,200.96","63,260.76","63,903.15","60,553.18","7.86M","-3.25%"
"Nov 09, 2016","63,258.27","64,157.44","64,358.32","61,794.36","5.80M","-1.40%"
"Nov 08, 2016","64,157.68","64,051.65","64,767.02","63,381.34","3.37M","0.17%"
"Nov 07, 2016","64,051.65","61,600.74","64,193.01","61,600.74","3.43M","3.98%"
"Nov 04, 2016","61,598.39","61,749.23","62,698.63","61,491.40","4.10M","-0.25%"
"Nov 03, 2016","61,750.17","63,324.67","63,523.70","61,750.17","4.25M","-2.49%"
"Nov 01, 2016","63,326.42","64,921.91","65,291.06","63,018.57","4.64M","-2.46%"
"Oct 31, 2016","64,924.52","64,311.51","65,054.43","64,311.51","3.93M","0.96%"
"Oct 28, 2016","64,307.63","64,250.59","64,728.28","63,777.97","3.91M","0.09%"
"Oct 27, 2016","64,249.50","63,827.32","64,608.57","63,827.32","3.70M","0.66%"
"Oct 26, 2016","63,825.69","63,859.97","63,924.26","63,083.64","4.43M","-0.06%"
"Oct 25, 2016","63,866.20","64,058.56","64,266.34","63,247.64","4.04M","-0.30%"
"Oct 24, 2016","64,059.89","64,140.73","64,691.43","63,913.56","3.78M","-0.08%"
"Oct 21, 2016","64,108.08","63,838.09","64,371.80","63,378.72","3.78M","0.42%"
"Oct 20, 2016","63,837.85","63,494.68","63,927.20","62,728.75","3.53M","0.52%"
"Oct 19, 2016","63,505.61","63,783.66","64,089.00","63,308.54","3.73M","-0.43%"
"Oct 18, 2016","63,782.21","62,701.39","63,937.44","62,701.39","4.39M","1.73%"
"Oct 17, 2016","62,696.11","61,767.58","62,696.11","61,718.83","3.44M","1.50%"
"Oct 14, 2016","61,767.22","61,120.45","62,038.64","61,120.45","3.81M","1.06%"
"Oct 13, 2016","61,118.58","61,020.38","61,328.59","60,243.14","5.11M","0.16%"
"Oct 11, 2016","61,021.85","61,668.33","61,668.33","60,884.77","3.68M","-1.05%"
